United States,4613929700,99095,110747000
China,4101689400,66106,38850000
United Kingdom,2175511300,70319,49561790
France,826633100,82016,26777270
Germany,268010300,45741,3535930
Italy,207755200,30436,3055400
Japan,110644500,14559,1265830
Switzerland,104839500,9862,3428320
Austria,99364700,6985,1969000
Australia,74476700,13939,1302650
Poland,69364800,8182,2088470
Czech republic,58464900,6013,3579190
India,57491000,1845,3785610
Canada,55883600,12256,6881060
South Korea,54875000,1074,1632140
